Crimes,cityKod,city,crimeType
4934,5000,תל אביב יפו,גניבות אחרות
3143,3000,ירושלים,(תקיפה (למעט עובדי ציבור
2512,3000,ירושלים,איומים
2437,5000,תל אביב יפו,(תקיפה (למעט עובדי ציבור
2260,5000,תל אביב יפו,גניבה שמוש רכב ללא רשות
2118,3000,ירושלים,גניבות אחרות
2047,9000,באר שבע,איומים
2043,9000,באר שבע,(תקיפה (למעט עובדי ציבור
1972,5000,תל אביב יפו,איומים
1925,5000,תל אביב יפו,גניבה מתוך רכב
1626,5000,תל אביב יפו,גרימת נזק לרכוש בזדון
1531,4000,חיפה,גניבות אחרות
1522,3000,ירושלים,גרימת נזק לרכוש בזדון
1465,4000,חיפה,איומים
1426,5000,תל אביב יפו,גניבת אופניים
1423,3000,ירושלים,עבירות נגד הסדר הצבורי
1349,4000,חיפה,(תקיפה (למעט עובדי ציבור
1289,9000,באר שבע,גניבות אחרות
1197,70,אשדוד,(תקיפה (למעט עובדי ציבור
1197,7900,פתח תקווה,גניבה שמוש רכב ללא רשות
1106,5000,תל אביב יפו,עבירות נגד הסדר הצבורי
1097,70,אשדוד,איומים
1011,7400,נתניה,(תקיפה (למעט עובדי ציבור
984,3000,ירושלים,עבירות הנוגעות לנחלת משפט
978,5000,תל אביב יפו,עבירות על חוק הכניסה לישראל
975,9000,באר שבע,גרימת נזק לרכוש בזדון
973,7900,פתח תקווה,(תקיפה (למעט עובדי ציבור
973,8300,ראשון לציון,איומים
963,8300,ראשון לציון,(תקיפה (למעט עובדי ציבור
943,7400,נתניה,איומים
932,7100,אשקלון,איומים
931,7900,פתח תקווה,איומים
854,7400,נתניה,גניבות אחרות
852,3000,ירושלים,עבירות על חוק הכניסה לישראל
813,4000,חיפה,גרימת נזק לרכוש בזדון
790,8300,ראשון לציון,גניבות אחרות
780,7100,אשקלון,(תקיפה (למעט עובדי ציבור
770,6600,חולון,איומים
761,3000,ירושלים,מרמה ועושק
759,6200,בת ים,איומים
754,8300,ראשון לציון,גניבה שמוש רכב ללא רשות
745,70,אשדוד,גניבות אחרות
742,6200,בת ים,(תקיפה (למעט עובדי ציבור
737,3000,ירושלים,גניבה שמוש רכב ללא רשות
733,6600,חולון,(תקיפה (למעט עובדי ציבור
727,7900,פתח תקווה,גניבות אחרות
686,3000,ירושלים,תקיפת והכשלת שוטר
663,9000,באר שבע,עבירות נגד הסדר הצבורי
655,2600,אילת,(תקיפה (למעט עובדי ציבור
652,5000,תל אביב יפו,החזקת סמים שלא לצריכה עצמית
627,5000,תל אביב יפו,עבירות הנוגעות לנחלת משפט
622,6600,חולון,גניבה שמוש רכב ללא רשות
616,2600,אילת,איומים
614,2600,אילת,גניבות אחרות
614,8300,ראשון לציון,גרימת נזק לרכוש בזדון
611,8600,רמת גן,גניבה שמוש רכב ללא רשות
605,5000,תל אביב יפו,התפרצות לבתי עסק ומוסדות
597,70,אשדוד,גרימת נזק לרכוש בזדון
581,9000,באר שבע,גניבה שמוש רכב ללא רשות
578,6200,בת ים,גניבות אחרות
577,6500,חדרה,(תקיפה (למעט עובדי ציבור
575,5000,תל אביב יפו,התפרצות לבית דירה
575,5000,תל אביב יפו,סחריבוא ויצוא סמים
562,8500,רמלה,איומים
558,6900,כפר סבא,גניבה שמוש רכב ללא רשות
556,5000,תל אביב יפו,מרמה ועושק
552,5000,תל אביב יפו,הסגות גבול
550,6500,חדרה,איומים
536,8600,רמת גן,איומים
529,7400,נתניה,גרימת נזק לרכוש בזדון
527,7100,אשקלון,גרימת נזק לרכוש בזדון
519,6600,חולון,גניבות אחרות
516,8600,רמת גן,גניבות אחרות
514,8600,רמת גן,(תקיפה (למעט עובדי ציבור
514,9000,באר שבע,עבירות הנוגעות לנחלת משפט
510,7900,פתח תקווה,גרימת נזק לרכוש בזדון
506,7600,עכו,איומים
505,7400,נתניה,גניבה שמוש רכב ללא רשות
502,8500,רמלה,(תקיפה (למעט עובדי ציבור
501,8400,רחובות,איומים
501,7100,אשקלון,גניבות אחרות
486,8400,רחובות,(תקיפה (למעט עובדי ציבור
